Outcomes

Feasible: ctr.T=0.05; ctr.ctr_min=3.33333333333; ctr.ctr_max=4.38888888889; kpi2=0.371002480252; y3=0.286801984202; best-so-far=0.111313045164
Feasible: ctr.T=0.05; ctr.ctr_min=3.33333333333; ctr.ctr_max=4.5; kpi2=0.419816348434; y3=0.325853078747; best-so-far=0.111313045164
Feasible: ctr.T=0.05; ctr.ctr_min=3.44444444444; ctr.ctr_max=3.5; kpi2=0.142167258332; y3=0.103733806665; best-so-far=0.103733806665
Feasible: ctr.T=0.05; ctr.ctr_min=3.44444444444; ctr.ctr_max=3.61111111111; kpi2=0.141338793908; y3=0.103071035126; best-so-far=0.103071035126
Feasible: ctr.T=0.05; ctr.ctr_min=3.44444444444; ctr.ctr_max=3.72222222222; kpi2=0.140669059209; y3=0.102535247368; best-so-far=0.102535247368
Feasible: ctr.T=0.05; ctr.ctr_min=3.44444444444; ctr.ctr_max=3.83333333333; kpi2=0.167809675922; y3=0.124247740738; best-so-far=0.102535247368
Feasible: ctr.T=0.05; ctr.ctr_min=3.44444444444; ctr.ctr_max=3.94444444444; kpi2=0.207234066095; y3=0.155787252876; best-so-far=0.102535247368
Feasible: ctr.T=0.05; ctr.ctr_min=3.44444444444; ctr.ctr_max=4.05555555556; kpi2=0.237133155265; y3=0.179706524212; best-so-far=0.102535247368
Feasible: ctr.T=0.05; ctr.ctr_min=3.44444444444; ctr.ctr_max=4.16666666667; kpi2=0.278858776651; y3=0.213087021321; best-so-far=0.102535247368
Feasible: ctr.T=0.05; ctr.ctr_min=3.44444444444; ctr.ctr_max=4.27777777778; kpi2=0.332362383712; y3=0.255889906969; best-so-far=0.102535247368
Feasible: ctr.T=0.05; ctr.ctr_min=3.44444444444; ctr.ctr_max=4.38888888889; kpi2=0.37400426055; y3=0.28920340844; best-so-far=0.102535247368
Feasible: ctr.T=0.05; ctr.ctr_min=3.44444444444; ctr.ctr_max=4.5; kpi2=0.416979131449; y3=0.323583305159; best-so-far=0.102535247368
Feasible: ctr.T=0.05; ctr.ctr_min=3.55555555556; ctr.ctr_max=3.61111111111; kpi2=0.0998783459772; y3=0.0699026767817; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.55555555556; ctr.ctr_max=3.72222222222; kpi2=0.129115838235; y3=0.0932926705881; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.55555555556; ctr.ctr_max=3.83333333333; kpi2=0.167467406976; y3=0.123973925581; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.55555555556; ctr.ctr_max=3.94444444444; kpi2=0.200848865029; y3=0.150679092023; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.55555555556; ctr.ctr_max=4.05555555556; kpi2=0.24859388376; y3=0.188875107008; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.55555555556; ctr.ctr_max=4.16666666667; kpi2=0.313465725602; y3=0.240772580481; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.55555555556; ctr.ctr_max=4.27777777778; kpi2=0.339782889129; y3=0.261826311304; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.55555555556; ctr.ctr_max=4.38888888889; kpi2=0.406998458019; y3=0.315598766415; best-so-far=0.0699026767817
Feasible: ctr.T=0.05; ctr.ctr_min=3.55555555556; ctr.ctr_max=4.5; kpi2=0.442327426028; y3=0.343861940823; best-so-far=0.0699026767817
