Outcomes

Feasible: ctr.T=0.05; ctr.ctr_min=2.66666666667; ctr.ctr_max=4.77777777778; kpi2=0.577203212556; y3=0.451762570045; best-so-far=0.335327674355
Infeasible: ctr.T=0.05; ctr.ctr_min=2.66666666667; ctr.ctr_max=5.0; kpi2=0.63663436025; y3=0.4993074882; best-so-far=0.335327674355
Feasible: ctr.T=0.05; ctr.ctr_min=2.88888888889; ctr.ctr_max=3.0; kpi2=0.658407861582; y3=0.516726289266; best-so-far=0.335327674355
Feasible: ctr.T=0.05; ctr.ctr_min=2.88888888889; ctr.ctr_max=3.22222222222; kpi2=0.56870818294; y3=0.444966546352; best-so-far=0.335327674355
Feasible: ctr.T=0.05; ctr.ctr_min=2.88888888889; ctr.ctr_max=3.44444444444; kpi2=0.467899615915; y3=0.364319692732; best-so-far=0.335327674355
Feasible: ctr.T=0.05; ctr.ctr_min=2.88888888889; ctr.ctr_max=3.66666666667; kpi2=0.346915592903; y3=0.267532474323; best-so-far=0.267532474323
Feasible: ctr.T=0.05; ctr.ctr_min=2.88888888889; ctr.ctr_max=3.88888888889; kpi2=0.348943767668; y3=0.269155014134; best-so-far=0.267532474323
Feasible: ctr.T=0.05; ctr.ctr_min=2.88888888889; ctr.ctr_max=4.11111111111; kpi2=0.378175992116; y3=0.292540793693; best-so-far=0.267532474323
Feasible: ctr.T=0.05; ctr.ctr_min=2.88888888889; ctr.ctr_max=4.33333333333; kpi2=0.40630598607; y3=0.315044788856; best-so-far=0.267532474323
Feasible: ctr.T=0.05; ctr.ctr_min=2.88888888889; ctr.ctr_max=4.55555555556; kpi2=0.457465658665; y3=0.355972526932; best-so-far=0.267532474323
Feasible: ctr.T=0.05; ctr.ctr_min=2.88888888889; ctr.ctr_max=4.77777777778; kpi2=0.557714576042; y3=0.436171660834; best-so-far=0.267532474323
Infeasible: ctr.T=0.05; ctr.ctr_min=2.88888888889; ctr.ctr_max=5.0; kpi2=0.623024818592; y3=0.488419854874; best-so-far=0.267532474323
Feasible: ctr.T=0.05; ctr.ctr_min=3.11111111111; ctr.ctr_max=3.22222222222; kpi2=0.431652742045; y3=0.335322193636; best-so-far=0.267532474323
Feasible: ctr.T=0.05; ctr.ctr_min=3.11111111111; ctr.ctr_max=3.44444444444; kpi2=0.347907113423; y3=0.268325690739; best-so-far=0.267532474323
Feasible: ctr.T=0.05; ctr.ctr_min=3.11111111111; ctr.ctr_max=3.66666666667; kpi2=0.261479779592; y3=0.199183823673; best-so-far=0.199183823673
Feasible: ctr.T=0.05; ctr.ctr_min=3.11111111111; ctr.ctr_max=3.88888888889; kpi2=0.248954590065; y3=0.189163672052; best-so-far=0.189163672052
Feasible: ctr.T=0.05; ctr.ctr_min=3.11111111111; ctr.ctr_max=4.11111111111; kpi2=0.312147019599; y3=0.239717615679; best-so-far=0.189163672052
Feasible: ctr.T=0.05; ctr.ctr_min=3.11111111111; ctr.ctr_max=4.33333333333; kpi2=0.372175324046; y3=0.287740259237; best-so-far=0.189163672052
Feasible: ctr.T=0.05; ctr.ctr_min=3.11111111111; ctr.ctr_max=4.55555555556; kpi2=0.44087537275; y3=0.3427002982; best-so-far=0.189163672052
Feasible: ctr.T=0.05; ctr.ctr_min=3.11111111111; ctr.ctr_max=4.77777777778; kpi2=0.518298366511; y3=0.404638693208; best-so-far=0.189163672052
Infeasible: ctr.T=0.05; ctr.ctr_min=3.11111111111; ctr.ctr_max=5.0; kpi2=0.616656934253; y3=0.483325547403; best-so-far=0.189163672052
Feasible: ctr.T=0.05; ctr.ctr_min=3.33333333333; ctr.ctr_max=3.44444444444; kpi2=0.209553798627; y3=0.157643038902; best-so-far=0.157643038902
Feasible: ctr.T=0.05; ctr.ctr_min=3.33333333333; ctr.ctr_max=3.66666666667; kpi2=0.179027440384; y3=0.133221952307; best-so-far=0.133221952307
Feasible: ctr.T=0.05; ctr.ctr_min=3.33333333333; ctr.ctr_max=3.88888888889; kpi2=0.201588829451; y3=0.151271063561; best-so-far=0.133221952307
Feasible: ctr.T=0.05; ctr.ctr_min=3.33333333333; ctr.ctr_max=4.11111111111; kpi2=0.260709703997; y3=0.198567763197; best-so-far=0.133221952307
Feasible: ctr.T=0.05; ctr.ctr_min=3.33333333333; ctr.ctr_max=4.33333333333; kpi2=0.356818386967; y3=0.275454709573; best-so-far=0.133221952307
Feasible: ctr.T=0.05; ctr.ctr_min=3.33333333333; ctr.ctr_max=4.55555555556; kpi2=0.441639606977; y3=0.343311685581; best-so-far=0.133221952307
Feasible: ctr.T=0.05; ctr.ctr_min=3.33333333333; ctr.ctr_max=4.77777777778; kpi2=0.533648847562; y3=0.41691907805; best-so-far=0.133221952307
